basin,Temperate-or-sub-polar-needleleaf-forest,Sub-polar-taiga-needleleaf-forest,Tropical-or-sub-tropical-broadleaf-evergreen-forest,Tropical-or-sub-tropical-broadleaf-deciduous-forest,Temperate-or-sub-polar-broadleaf-deciduous-forest,Mixed-Forest,Tropical-or-sub-tropical-shrubland,Temperate-or-sub-polar-shrubland,Tropical-or-sub-tropical-grassland,Temperate-or-sub-polar-grassland,Sub-polar-or-polar-shrubland-lichen-moss,Sub-polar-or-polar-grassland-lichen-moss,Sub-polar-or-polar-barren-lichen-moss,Wetland,Cropland,Barren-Lands,Urban-and-Built-up,Water,Snow-and-Ice,mean_elev,mean_slope,std_elev,std_slope,area_km2,gauge_lat,gauge_lon,BD,CLAY,GRAV,OC,SAND,SILT
02KB001_3044506,0.10400795672614889,0.0,0.0,0.0,0.15648329789213877,0.568387268017805,0.0,0.00419802729327919,0.0,0.0003264454363233091,0.0,0.0,0.0,0.017295506341278872,0.0,0.0015925655865492276,0.0,0.14770893270647673,0.0,423.31984793348107,3.6349036318031263,33.582245318675334,2.610275366149671,294.99151497376306,45.83254133281076,-78.34771577482778,155.41953441295547,1.75,1.75,20.0,89.0,7.75
02KB001_3044563,0.1363055289229786,0.0,0.0,0.0,0.10690316395014382,0.580199566776748,0.0,0.004048151699158411,0.0,8.877525656049146e-05,0.0,0.0,0.0,0.008948545861297539,0.0,0.00010653030787258975,0.0,0.1633997372252406,0.0,400.82883522727275,3.9636442198508037,35.61662663380815,2.7074239755382896,50.68234565501475,45.811598500283196,-78.12032759234452,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3044950,0.05668987579977418,0.0,0.0,0.0,0.14392798895997994,0.5740496800903274,0.0,0.0002822732404968009,0.0,0.0,0.0,0.0,0.0,0.008577970141763895,0.0,7.840923347133359e-05,0.0,0.2163938025341864,0.0,422.3572848028449,3.6772236813562285,39.42809107967257,2.693241489600933,57.388222269577625,45.7834381820166,-78.20024487503544,154.9140625,1.75,1.75,20.0,89.0,7.75
02KB001_3044966,0.06412602667525584,0.0,0.0,0.0,0.16261364800960426,0.5807504794811356,0.0,0.006017305242815104,0.0,0.0,0.0,0.0,0.0,0.020716513183901147,0.0,0.0,0.0,0.1657760274072881,0.0,421.18868108318725,4.090157577864856,30.55073025487227,2.7784863714244246,61.472709490360515,45.91816140228628,-78.5434574485361,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3044974,0.03505711318795431,0.0,0.0,0.0,0.13636552440290758,0.7059605399792316,0.0,0.003489096573208723,0.0,0.0004569055036344756,0.0,0.0,0.0,0.031069574247144342,0.0,0.0004153686396677051,0.0,0.0871858774662513,0.0,399.6741231703949,4.094408166308539,35.57540375713302,2.767011839493822,21.662215549592073,45.97074725702946,-78.49941740300822,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047014,0.05382968418289056,0.0,0.0,0.0,0.2738967675935524,0.5132469366600428,0.0,0.0026299231845155918,0.0,0.00020822111271552016,0.0,0.0,0.0,0.023325291170066858,0.0,0.00036665022021645943,0.0,0.1324965258759998,0.0,456.31622406388,3.781156287223054,32.367360488084046,2.544738223001432,198.8170718028407,45.67851878855093,-78.7830850371915,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047020,0.060525308216555634,0.0,0.0,0.0,0.18711999387395667,0.49216632207672867,0.0,0.001837813002526993,0.0,4.5945325063174825e-05,0.0,0.0,0.0,0.026870357607780074,0.0,0.0,0.0,0.23143425989738878,0.0,436.07813378302416,3.2133481522483414,26.92282387056764,2.387592256200581,117.53247002776236,45.74832008528538,-78.59527392386644,154.91153846153847,1.75,1.75,20.0,89.0,7.75
02KB001_3047073,0.10756407600331479,0.0,0.0,0.0,0.22714425239730082,0.5652154611104534,0.0,0.0022493192849532377,0.0,0.00035515567657156387,0.0,0.0,0.0,0.02130564105599621,0.0,8.50893808452705e-05,0.0,0.0760810050905647,0.0,451.83919846009576,3.7352733828394356,27.46882157210138,2.4974364709515675,243.267386147613,45.773862115835485,-78.79533903390909,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047089,0.08399355877616747,0.0,0.0,0.0,0.08936124530327429,0.5361460010735373,0.0,0.00045088566827697265,0.0,0.0,0.0,0.0,0.0,0.011744498121309715,0.0,0.0,0.0,0.27830381105743424,0.0,418.95581927366317,3.0829936072937687,22.74694921568695,2.1940226548443698,41.92041811602098,45.863903937153026,-78.6880426080107,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047100,0.0490688809575837,0.0,0.0,0.0,0.17257872629713258,0.6548668269114041,0.0,0.0004613106077160269,0.0,0.0,0.0,0.0,0.0,0.016218709787068734,0.0,0.0,0.0,0.10680554543909486,0.0,428.6565934065934,3.6328886031126815,25.51501598831185,2.284857986842661,37.066963102729346,45.89802210837055,-78.6122907239398,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047137,0.0654315591271309,0.0,0.0,0.0,0.13098640485076718,0.5804332963473544,0.0,0.005312531522141152,0.0,0.0,0.0,0.0,0.0,0.041099268125931655,0.0,0.0,0.0,0.17673694002667473,0.0,412.04643523702873,3.7825069104487126,29.420744811346825,2.9609056148804993,80.29367802107357,45.85887849506807,-78.50304233543642,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047150,0.0433523311221153,0.0,0.0,0.0,0.2183032794543586,0.5,0.0,0.0008175277959450621,0.0,0.0,0.0,0.0,0.0,0.023241147341866768,0.0,0.00014014762216201066,0.0,0.21414556666355228,0.0,428.3609900373599,4.246622666772247,32.65506132139412,3.2342487230034713,38.52994183869505,45.82593399319709,-78.5987602479527,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3048621,0.10294483669026443,0.0,0.0,0.0,0.1677788174654934,0.6345182622722533,0.0,0.003631030582571683,0.0,0.006557909030475453,0.0,0.0,0.0,0.019457913126214938,0.0,0.003867323245211923,0.016466448017189505,0.044777459570325424,0.0,246.3680293896006,3.5110600379415033,50.483670631241985,2.8534689620473257,571.3248760381587,45.9958956127028,-77.7451227706955,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3048805,0.08444672489458492,0.0,0.0,0.0,0.18453300617154783,0.6059468151889446,0.0,0.0053975961634929875,0.0,0.002562639920426304,0.0,0.0,0.0,0.016370510722096894,0.012474954064536102,0.0059250298831333,0.032196388798913025,0.05014633419232412,0.0,234.01519402928096,3.8136791674711676,50.781073628678875,2.769340031994691,313.9717334451363,45.87031437466075,-77.56179828632148,154.3050847457627,1.7005649717514124,1.6346516007532956,20.7909604519774,89.23069679849341,7.601694915254237
02KB001_3048815,0.05687273801610163,0.0,0.0,0.0,0.1290346406677007,0.5761134500332373,0.0,0.0044316419233325945,0.0,0.0,0.0,0.0,0.0,0.006721323583721102,0.031095354162050372,0.010118915724942758,0.046089076002658984,0.1395228598862545,0.0,158.04523107177974,2.4405328591327633,9.97193304941839,1.6548890636993243,12.186287932378155,45.88714068721054,-77.35129260905791,153.57608695652175,1.6195652173913044,1.4456521739130435,22.08695652173913,89.6086956521739,7.358695652173913
02KB001_3049389,0.08947909753435515,0.0,0.0,0.0,0.19820777594997624,0.617663063136738,0.0,0.00396000364861337,0.0,0.0009090079860597807,0.0,0.0,0.0,0.01789393229305914,0.0,0.0004749488093253525,0.0012109621959619915,0.07020120844591088,0.0,297.2121459694989,4.017243351634371,42.78025495048426,2.904816608784753,286.128538401183,45.86191071297378,-77.83277893005486,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3049465,0.17963655689785574,0.0,0.0,0.0,0.15969624496637436,0.5912593773635044,0.0,0.010537397027861245,0.0,0.002442713763005662,0.0,0.0,0.0,0.01792686167494532,0.0,0.004445943459863862,0.0004088223871139184,0.03364608245947548,0.0,307.24696053793383,3.0987980287806223,42.36108103766501,2.4520434310190526,88.05961320720898,45.98289665390554,-78.12975217341078,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3050528,0.22329298389940064,0.0,0.0,0.0,0.14058738565238324,0.5594001038748346,0.0,0.0052468164637821816,0.0,0.0010652857126609776,0.0,0.0,0.0,0.010395065566250536,0.0,0.0013268683253784418,0.0020812877446650417,0.056604202760644325,0.0,310.1301475223805,3.468793006804789,55.992259788188996,2.736912001157283,237.39631494714223,45.93175429315979,-78.01980810533368,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3051397,0.1345707656612529,0.0,0.0,0.0,0.15874402482319067,0.6337251558437929,0.0,0.0056327397758085705,0.0,0.002942163083890085,0.0,0.0,0.0,0.0191415313225058,0.0,0.0010342996114387946,0.0,0.04420931987812037,0.0,397.10769731337734,3.820765981698464,36.95371296365206,2.519884284713778,128.79004113684368,45.933699950696365,-78.37457845280623,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3051410,0.10521376964004234,0.0,0.0,0.0,0.210205657071802,0.5330997406751691,0.0,0.009457729128049147,0.0,0.0033605909462813928,0.0,0.0,0.0,0.03058276437496244,0.0,0.0023205180949563402,0.01665503325921851,0.08910419680951874,0.0,375.86465934874593,3.225169709424166,38.68078412119822,2.36207934249193,194.69959035129597,46.0885462233373,-78.3467567099017,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3052275,0.11545869792526553,0.0,0.0,0.0,0.13093390567387594,0.6714104892410985,0.0,0.005745418524021793,0.0,0.006284739419954873,0.0,0.0,0.0,0.011303725716801497,0.0,0.009465632051070387,0.0,0.049397391447911505,0.0,344.7591075347476,3.7131931993818754,50.88425103840072,2.4194138573533897,81.76338959392186,45.98162313639839,-78.23106650819153,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3053185,0.024774938729950742,0.0,0.0,0.0,0.14231637184246923,0.5645822717235689,0.0,0.0010434107398510106,0.0,8.492878115066365e-05,0.0,0.0,0.0,0.00610273955982626,0.0,0.0005459707359685521,0.0,0.26054936788721456,0.0,362.0923597678917,3.534516410469807,48.38037697773319,2.8848614518989133,74.18219100854037,46.0064759251824,-78.43731396408224,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3053374,0.18555917286777332,0.0,0.0,0.0,0.06779479107040641,0.6901473955352032,0.0,0.002531124785346308,0.0,8.943903835145964e-05,0.0,0.0,0.0,0.018522824842587292,0.0,8.049513451631368e-05,0.0,0.03527475672581568,0.0,379.75537298327083,4.0018089548349485,35.519150315698,2.599544250049808,100.6320577944068,45.88921508368876,-78.16065966643957,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3054459,0.07132259431962697,0.0,0.0,0.0,0.1265366680796948,0.7175074183976261,0.0,0.0019711742263671048,0.0,0.0,0.0,0.0,0.0,0.009474353539635438,0.0,0.0003603221704111912,0.0,0.07282746926663841,0.0,374.9476572393415,4.293601637799201,38.823547474934436,2.7957768247867416,42.4723789087299,46.029367872390026,-78.35898556587678,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3057127,0.12672899008197366,0.0,0.0,0.0,0.16357977942438692,0.6293877320214315,0.0,0.0032312853043163915,0.0,0.0008623492655894369,0.0,0.0,0.0,0.02513334100763593,0.0,0.0007916648995575159,0.0037725255927893867,0.04651233240231926,0.0,430.58623379417935,3.9888962684425167,39.404899963294106,2.7799985405421896,445.6470020939802,45.86709787610645,-78.83822814123334,154.75,1.75,1.75,20.0,89.0,7.75
02KB001,0.10315082025125442,0.0,0.0,0.0,0.17649783352486703,0.5962399063193038,0.0,0.004010650291443786,0.0,0.0018875700806186067,0.0,0.0,0.0,0.018885513728278007,0.0010408239365518265,0.0018105931584307174,0.006415470398775347,0.09006081831047649,0.0,359.9751203782445,3.754068602788728,88.01494277335048,2.7462614053755954,4127.170463418113,45.88750000000003,-77.31208333299995,154.7666183924692,1.7457639391745112,1.7401158580738596,20.06777697320782,89.01976828385229,7.737291817523533
